,sa1,sa2,sa3,sa4,sa5,sa6,sa7,sa8,sa9,sa10,sa11,sa12,sa13,sa14,sa15,sa16,sa17,sa18,sa19,sa20,sa21,sa22,sa23,sa24,sa25,sa26,sa27,sa28,sa29,sa30,sa31,sa32,sa33,sa34,sa35,sa36,sa37,sa38,sa39,sa40,sa41,sa42,sa43,sa44,sa45,sa46,sa47,sa48,sa49,sa50,sa51,sa52,sa53,sa54,sa55,sa56,sa57,sa58,sa59,sa60,sa61,sa62,sa63,sa64,sa65,sa66,sa67,sa68,sa69,sa70,sa71,sa72,sa73,sa74,sa75,sa76,sa77,sa78,sa79,sa80,sa81,sa82,sa83,sa84,sa85,sa86,sa87,sa88,sa89,sa90,sa91,sa92,sa93,sa94,sa95,sa96,sa97,sa98,sa99,sa100,sa101,sa102,sa103,sa104,sa105,sa106,sa107,sa108
ASV_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,291,145,128,431,169,278,234,707,443,331,173,350,208,108,75,242,133,211,61,73,37,27,33,85,23,36,86,26,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_32,22,0,0,0,5,15,0,6,5,3,0,0,2,0,0,0,16,22,119,34,44,10,59,55,81,106,112,111,42,37,0,17,27,22,43,18,13,16,5,11,0,0,13,8,11,0,19,17,100,79,80,53,62,204,250,112,208,408,193,191,92,190,203,91,160,100,218,77,119,123,52,151,101,95,84,186,70,48,4,4,11,8,13,0,0,0,9,3,27,53,42,24,25,20,21,0,0,36,43,12,6,0,21,8,8,46,39,39
ASV_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,103,184,121,111,494,163,326,674,238,304,339,164,321,391,44,128,94,121,24,105,166,123,154,125,17,0,34,0,0,3,0,0,0,0,0,7,0,0,0,0,5,9,0,5,0,14,0,7,0,0,0,0,0,0,0,0,17,10,0
ASV_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,32,0,0,54,53,63,37,62,70,28,45,39,24,8,0,24,30,17,17,25,17,17,25,5,37,18,38,6,51,92,0,71,79,73,108,185,235,90,157,208,198,102,183,200,91,123,76,120,77,88,123,98,57,147,239,126,80,217,114,0,0,0,0,0,0,0,0,7,0,36,0,0,7,12,23,24,24,18,23,25,24,47,60,23,6,0,29,26,15
ASV_35,9,0,0,11,9,14,0,4,0,0,0,0,0,7,7,57,72,79,35,16,38,14,35,17,23,20,24,32,11,11,0,0,3,0,9,0,0,0,0,0,0,0,0,16,12,15,23,26,131,62,95,50,74,150,168,218,294,166,72,132,60,73,75,23,76,38,69,42,72,49,55,97,75,310,276,82,240,238,0,0,0,9,10,10,6,15,19,0,0,21,20,13,23,19,21,12,0,22,31,13,28,25,28,15,12,128,62,6
ASV_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,49,16,24,11,42,35,94,62,112,104,127,65,129,66,49,92,149,122,117,0,89,80,94,114,103,134,275,196,381,250,26,0,20,0,9,35,29,34,53,36,51,29,19,57,32,20,0,30,42,22,44,60,38,28,61,43,41,23,72,56,10,0,0,0,0,0,6,8,0,14,10,11,23,0,7,0,13,6,0,0,0,0,0,3,0,8,0,0,26,96
ASV_37,3,0,0,15,0,0,13,30,41,47,46,78,49,0,35,66,9,18,0,24,28,0,37,15,0,8,12,13,7,0,7,0,0,0,0,0,0,10,23,9,8,0,4,69,13,66,0,90,22,0,0,22,7,123,115,45,54,119,115,147,77,123,119,98,107,92,95,34,79,67,101,109,95,54,77,121,52,193,8,5,0,9,0,11,11,8,22,0,0,47,41,16,29,66,60,15,34,69,43,38,20,64,63,33,36,0,24,75
ASV_38,44,28,10,0,20,22,0,0,0,0,5,5,6,4,7,15,20,15,0,15,20,0,13,0,31,0,22,37,42,41,16,27,18,34,56,19,13,17,15,17,4,17,20,10,17,9,19,17,67,80,52,44,45,157,184,157,274,123,86,101,34,126,121,45,49,65,122,79,34,73,38,109,51,35,32,77,46,44,11,13,0,13,0,0,0,13,8,8,35,52,27,16,28,12,11,0,6,13,23,13,0,10,8,0,14,11,31,31
ASV_39,0,0,0,0,0,0,0,7,0,26,23,34,38,17,28,50,57,27,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,6,0,0,0,11,0,0,22,0,0,0,0,20,7,18,0,32,36,0,71,257,50,275,151,0,11,99,0,0,0,0,0,0,0,0,0,0,5,0,44,58,26,23,25,103,128,96,87,81,114,102,75,188,129,66,105,148,168,126
ASV_40,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,72,67,88,21,102,61,56,0,64,93,52,34,30,18,0,17,33,0,24,0,19,0,7,15,0,0,0,0,19,0,54,0,60,41,28,99,127,112,150,87,65,74,17,77,68,56,114,33,52,89,30,25,47,49,21,72,39,34,68,57,0,0,13,16,0,0,0,0,16,0,29,50,0,26,50,0,22,23,0,31,20,0,15,0,18,0,17,25,0,0
